/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T2) Stable oxygen and carbon isotope ratios of the benthic and planktonic foraminifera, carbonate content, and percent fragmentation of planktonic foraminifers for ODP Site 177-1089 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218128, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -40.936333 * LONGITUDE: 9.893983
	DATE/TIME START: 1997-12-19T00:00:00 * DATE/TIME END: 1997-12-19T00:00:00
	MINIMUM DEPTH, sediment/rock: -0.19 m * MAXIMUM DEPTH, sediment/rock: 94.94 m
Event(s):	177-1089 * LATITUDE: -40.936333 * LONGITUDE: 9.893983 * DATE/TIME: 1997-12-19T00:00:00 * ELEVATION: -4620.5 m * PENETRATION: 793.6 m * RECOVERY: 675.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 86 cores; 791.6 m cored; 2 m drilled; 85.4% recovery
Comment:	Depth is modified composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF) Hole C, and Scripps Institution of Oceanography (SIO) Hole A and B. Carbonate contenet and fragmentation determined at the Unifersity of Florida (UF).
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Calcium carbonate [%] (CaCO3) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Coulometric titration (Knap et al., 1996, IOC Manuals and Guides 29, UNESCO) (URI: hdl:10013/epic.27912.d001)
	Foraminifera, planktic, fragments [%] (Foram plankt fragm) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	9893 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]	Cibicidoides spp. δ18O [‰ PDB]	Cibicidoides spp. δ13C [‰ PDB]	CaCO3 [%]	Foram plankt fragm [%]
-0.19	0.55	177-1089A-1-1,5-6.5	2.32	1.48				88.2
-0.14	1.04	177-1089A-1-1,10-11.5					20.0	89.3
-0.09	1.49	177-1089A-1-1,15-16.5					19.6	91.2
-0.04	1.99	177-1089A-1-1,20-21.5					20.4	88.4
0.01	2.48	177-1089A-1-1,25-26.5					22.7	87.4
0.06	2.98	177-1089A-1-1,30-31.5			2.64	0.20	22.6	78.6
0.11	3.48	177-1089A-1-1,35-36.5					24.0	92.7
0.16	3.98	177-1089A-1-1,40-41.5	1.88	1.13	2.68	0.48	25.7	74.0
0.21	4.47	177-1089A-1-1,45-46.5	2.02	1.28			29.3	82.9
0.32	5.52	177-1089A-1-1,55-56.5	1.99	1.05	2.59	0.31	33.8	70.2
0.36	5.96	177-1089A-1-1,58.5-60	2.07	1.22	2.52	0.27	32.8	78.8
0.41	6.46	177-1089A-1-1,65-66.5	2.11	1.32	2.52	0.15	37.9	77.8
0.46	6.96	177-1089A-1-1,70-71.5	2.16	1.15	2.50	0.26	38.8	72.1
0.51	7.45	177-1089A-1-1,74-75.5	2.11	1.22	2.50	0.30	42.4	71.1
0.56	7.95	177-1089A-1-1,80-82	1.98	1.08	2.58	0.18	45.8	61.0
0.61	8.45	177-1089A-1-1,85-86.5	2.07	1.19	2.53	0.25	47.7	60.6
0.66	8.95	177-1089A-1-1,90-91.5	2.10	0.89	2.58	-0.04	46.3	56.2
0.73	9.41	177-1089A-1-1,95-96.5	1.89	1.01	2.57	0.37	46.4	67.8
0.76	9.63	177-1089A-1-1,100-101.5	1.99	0.91	2.60	0.42		
0.82	9.98	177-1089A-1-1,105-106.5	2.07	1.04			53.6	58.0
0.86	10.27	177-1089A-1-1,110-111.5	2.11	0.93	2.59	0.11	54.1	50.9
0.91	10.59	177-1089A-1-1,115-116.5	1.93	0.63	2.66	-0.07	56.4	49.2
0.96	10.91	177-1089A-1-1,120-121.5	2.13	0.57	2.71	-0.36	55.3	48.0
1.01	11.22	177-1089A-1-1,125-126.5	2.05	0.61	2.93	-0.06	57.0	47.8
1.06	11.54	177-1089A-1-1,130-131.5	2.03	0.49	2.69	-0.13	57.8	40.3
1.11	11.86	177-1089A-1-1,135-136.5	2.09	0.56	2.77	0.15	57.0	40.6
1.16	12.18	177-1089A-1-1,140-141.5	2.15	0.43	2.97	-0.14	57.8	34.0
1.21	12.49	177-1089A-1-1,145-146.5	2.15	0.57				21.3
1.26	12.81	177-1089A-1-2,0-1.5	2.30	0.33				
1.32	13.16	177-1089A-1-2,5-6.5	2.00	0.04	3.10	0.02	57.2	23.9
1.37	13.48	177-1089A-1-2,10-11.5	2.29	-0.01	3.15	0.07	61.3	35.0
1.41	13.77	177-1089A-1-2,15-16.5	2.63	0.20	3.29	0.14	60.4	28.4
1.46	14.08	177-1089A-1-2,20-21.5	2.67	0.40			61.8	23.8
1.50	14.34	177-1089A-1-2,25-26.5	2.56	-0.07	3.43	0.01	61.1	25.0
1.57	14.75	177-1089A-1-2,30-31.5	2.60	0.06	3.60	-0.37	59.6	19.5
1.61	15.00	177-1089A-1-2,35-36.5	2.98	0.09	4.04	-0.59	58.8	47.1
1.66	15.21	177-1089A-1-2,40-41.5	2.70	0.21	3.47	-0.57	55.5	14.5
1.71	15.43	177-1089A-1-2,45-46.5	2.69	0.00	3.67	-0.21	52.3	17.7
1.76	15.65	177-1089A-1-2,50-51.5	2.59	-0.01				
1.82	15.89	177-1089A-1-2,55-56.5			3.61	-0.32	48.6	39.1
1.86	16.08	177-1089A-1-2,59-61	2.59	-0.18	3.71	-0.49	50.4	58.7
1.91	16.30	177-1089A-1-2,65-66.5	2.68	-0.01	3.84	-0.86	46.5	41.7
1.95	16.47	177-1089A-1-2,70-71.5	2.91	-0.15	3.72	-0.43	48.8	66.9
2.02	16.76	177-1089A-1-2,75-76.5	2.89	0.11	3.87	-0.80	46.7	42.8
2.06	16.95	177-1089A-1-2,80-81.5	2.68	-0.47	3.93	-0.60	49.1	44.6
2.11	17.17	177-1089A-1-2,85-86.5	2.79	-0.41	4.00	-0.76	47.2	46.7
2.16	17.39	177-1089A-1-2,90-91.5	3.02	0.08	4.08	-0.66	46.8	49.5
2.23	17.67	177-1089A-1-2,95-96.5	2.99	-0.15	4.17	-0.78	46.7	52.0
2.26	17.82	177-1089A-1-2,99-100.5	3.29	0.45				
2.32	18.06	177-1089A-1-2,105-106.5	3.26	0.52	4.23	-0.62	47.9	49.0
2.36	18.26	177-1089A-1-2,110-111.5	3.27	0.15	4.22	-1.05	49.0	36.6
2.41	18.47	177-1089A-1-2,115-116.5	3.26	0.22	4.26	-0.81	50.0	34.5
2.46	18.69	177-1089A-1-2,120-121.5	3.16	0.12	4.19	-0.75	48.9	44.7
2.51	18.90	177-1089A-1-2,125-126.5	3.44	0.20	4.24	-1.15	50.1	37.8
2.56	19.04	177-1089A-1-2,130-131.5	3.11	-0.01	4.14	-1.00	47.5	24.8
2.61	19.18	177-1089A-1-2,135-136.5	3.35	0.15	4.27	-0.90	45.3	32.4
2.66	19.32	177-1089A-1-2,140-141.5	3.10	0.26	4.21	-1.06	46.3	28.1
2.71	19.46	177-1089A-1-2,145-146.5	3.38	0.39				
2.76	19.60	177-1089A-1-3,0-1.5	3.21	0.21				
2.82	19.76	177-1089A-1-3,5-6.5	3.34	0.34	4.21	-1.13	42.0	25.5
2.87	19.90	177-1089A-1-3,10-11.5	2.90	-0.32	4.25	-0.83	45.2	30.7
2.91	20.03	177-1089A-1-3,15-16.5	3.18	0.24	4.18	-1.03	42.7	40.3
2.96	20.17	177-1089A-1-3,20-21.5	3.22	0.05	4.10	-1.23	45.8	35.6
3.01	20.31	177-1089A-1-3,25-26.5	3.23	-0.03	4.26	-1.00	45.1	29.3
3.06	20.45	177-1089A-1-3,30-31.5	2.97	-0.06	4.16	-1.00	43.2	36.8
3.11	20.59	177-1089A-1-3,34-35.5	3.34	0.40	4.24	-1.26	42.3	38.6
3.16	20.73	177-1089A-1-3,35.5-37	3.19	0.14	4.23	-1.30	41.7	28.2
3.21	20.87	177-1089A-1-3,45-46.5	2.99	-0.13	4.08	-1.07	39.7	36.3
3.26	21.01	177-1089A-1-3,50-51.5	3.22	0.10				18.3
3.32	21.17	177-1089A-1-3,55-56.5	3.35	0.34	4.12	-1.08	36.3	32.5
3.36	21.29	177-1089A-1-3,60-61.5	2.99	0.01	4.22	-0.92	36.3	
3.41	21.44	177-1089A-1-3,65-66.5	2.95	-0.31	4.20	-0.80	34.7	18.3
3.46	21.63	177-1089A-1-3,69-70.5			4.11	-1.20	34.7	27.7
3.51	21.84	177-1089A-1-3,76-77.5	3.15	0.19	4.13	-1.01	30.8	26.3
3.56	22.04	177-1089A-1-3,79-81.5			4.19	-0.99	30.8	33.3
3.61	22.25	177-1089A-1-3,85-86.5	3.24	0.11	4.27	-0.89	30.5	26.4
3.66	22.45	177-1089A-1-3,90-91.5	3.03	0.14			25.3	22.8
3.73	22.72	177-1089A-1-3,95-96.5	3.19	-0.13	4.02	-0.93	24.5	22.2
3.82	23.09	177-1089A-1-3,105-106.5	3.23	-0.02	4.10	-1.02	25.8	30.2
3.86	23.27	177-1089A-1-3,110-111.5	3.05	0.24	4.08	-0.80	26.5	29.1
3.91	23.48	177-1089A-1-3,115-116.5			4.21	-0.95	25.0	18.6
3.96	23.69	177-1089A-1-3,120-121.5	2.85	-0.43	4.06	-1.18	25.3	16.6
4.01	23.89	177-1089A-1-3,125-126.5	3.30	0.24	4.22	-0.94	24.0	20.3
4.06	24.10	177-1089A-1-3,130-131.5	3.33	0.20	4.18	-1.05	22.3	21.9
4.11	24.30	177-1089A-1-3,135-136.5	3.42	0.49			22.8	
4.16	24.51	177-1089A-1-3,140-141.5	3.26	0.58				28.7
4.26	24.92	177-1089A-1-4,0-1.5	3.04	0.06				25.7
4.32	25.15	177-1089A-1-4,5-6.5	2.98	0.04	4.07	-0.76	22.2	
4.37	25.36	177-1089A-1-4,10-11.5	3.22	0.02	4.17	-1.03	23.5	23.3
4.41	25.55	177-1089A-1-4,15-16.5	3.03	-0.09	4.12	-0.83	22.1	12.5
4.46	25.77	177-1089A-1-4,20-21.5	2.90	-0.07	4.22	-0.57	21.7	8.3
4.50	25.94	177-1089A-1-4,25-26.5	3.26	0.37	4.07	-0.98	21.6	8.8
4.57	26.22	177-1089A-1-4,30-31.5	3.24	-0.32	4.13	-0.75	21.7	13.5
4.61	26.42	177-1089A-1-4,35-36.5	3.14	0.03	4.15	-1.10	22.6	22.9
4.66	26.63	177-1089A-1-4,39-41	3.37	0.28	4.19	-0.97	22.5	19.0
4.71	26.85	177-1089A-1-4,45-46.5	3.09	0.08	4.13	-0.69	23.5	19.0
4.76	27.07	177-1089A-1-4,50-51.5						27.2
4.82	27.30	177-1089A-1-4,55-56.5	3.44	0.31	4.08	-0.75	25.0	37.5
4.86	27.50	177-1089A-1-4,59.5-61					26.3	38.2
4.91	27.72	177-1089A-1-4,65-66.5			4.17	-0.84	26.3	18.8
4.95	27.89	177-1089A-1-4,70-71.5			3.97	-1.07	25.9	28.9
5.02	28.17	177-1089A-1-4,75-76.5			4.11	-0.88	26.3	31.5
5.06	28.36	177-1089A-1-4,80-81.5			4.09	-0.94	28.9	28.5
5.11	28.58	177-1089A-1-4,85-86.5			4.03	-0.85	30.5	20.3
5.16	28.80	177-1089A-1-4,90-91.5			4.08	-0.85	31.1	24.4
5.23	29.08	177-1089A-1-4,95-96.5			4.02	-1.13	26.8	40.4
5.26	29.21	177-1089A-1-4,99-101.5	3.28	0.31				38.1
5.32	29.35	177-1089A-1-4,105-106.5			3.91	-1.08	26.1	25.9
5.36	29.47	177-1089A-1-4,110-111.5			4.05	-0.86	26.3	23.3
5.41	29.60	177-1089A-1-4,115-116.5	2.82	0.01	3.98	-1.08	26.5	
5.46	29.73	177-1089A-1-4,120-121.5	2.77	-0.32	4.05	-1.03	26.3	12.4
