/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T7) Stable oxygen and carbon isotope ratios of Neogloboquadrina pachyderma (sinistral) at ODP Site 177-1094 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218134, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -53.180350 * LONGITUDE: 5.130333
	DATE/TIME START: 1998-01-20T00:00:00 * DATE/TIME END: 1998-01-20T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 90.970 m
Event(s):	177-1094 * LATITUDE: -53.180350 * LONGITUDE: 5.130333 * DATE/TIME: 1998-01-20T00:00:00 * ELEVATION: -2807.3 m * PENETRATION: 441.8 m * RECOVERY: 306.1 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 46 cores; 421.7 m cored; 20.1 m drilled; 72.6% recovery
Comment:	Depth is composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Neogloboquadrina pachyderma sinistral, δ18O [‰ PDB] (N. pachyderma s δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Neogloboquadrina pachyderma sinistral, δ13C [‰ PDB] (N. pachyderma s δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	3780 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]
0.000	0.210	177-1094A-1-1,0-2	3.24	0.76
0.400	0.890	177-1094A-1-1,40-42	3.01	0.69
0.500	1.060	177-1094A-1-1,50-52	3.20	0.62
0.550	1.140	177-1094A-1-1,55-57	3.08	0.83
0.600	1.230	177-1094A-1-1,60-62	3.52	1.07
0.650	1.310	177-1094A-1-1,65-67	3.20	1.04
0.800	1.570	177-1094A-1-1,80-82	3.22	0.88
0.850	1.650	177-1094A-1-1,85-87	2.97	0.74
1.100	2.070	177-1094A-1-1,110-112	3.06	0.92
1.200	2.240	177-1094A-1-1,120-122	3.10	1.00
1.250	2.330	177-1094A-1-1,125-127	3.16	1.03
1.350	2.500	177-1094A-1-1,135-137	2.96	0.62
1.400	2.580	177-1094A-1-1,140-142	3.28	0.73
1.600	2.920	177-1094A-1-2,10-12	3.48	0.95
2.200	3.940	177-1094A-1-2,70-72	3.37	0.76
2.300	4.110	177-1094A-1-2,80-82	3.07	0.71
2.350	4.190	177-1094A-1-2,85-87	3.15	0.65
2.400	4.280	177-1094A-1-2,90-92	3.01	0.60
2.450	4.360	177-1094A-1-2,95-97	3.11	0.71
2.500	4.440	177-1094A-1-2,100-102	3.05	0.68
2.550	4.530	177-1094A-1-2,105-107	3.03	0.65
2.580	4.580	177-1094C-1-2,80-82	3.32	0.66
2.780	4.920	177-1094C-1-2,100-102	3.03	0.49
2.830	5.000	177-1094C-1-2,105-107	2.86	0.58
2.880	5.090	177-1094C-1-2,110-112	2.86	0.53
2.930	5.170	177-1094C-1-2,115-117	3.06	0.52
2.980	5.260	177-1094C-1-2,120-122	3.15	0.54
3.080	5.430	177-1094C-1-2,130-132	3.49	1.05
3.130	5.510	177-1094C-1-2,135-137	3.45	0.55
3.180	5.600	177-1094C-1-2,140-142	3.52	0.71
3.230	5.680	177-1094C-1-2,145-147	3.10	0.66
3.280	5.770	177-1094C-1-3,0-2	3.22	0.42
3.330	5.850	177-1094C-1-3,5-7	3.02	0.40
3.380	5.940	177-1094C-1-3,10-12	2.98	0.34
3.430	6.020	177-1094C-1-3,15-17	3.22	0.45
3.480	6.100	177-1094C-1-3,20-22	3.23	0.72
3.530	6.190	177-1094C-1-3,25-27	3.23	0.69
3.580	6.270	177-1094C-1-3,30-32	3.24	0.63
3.630	6.360	177-1094C-1-3,35-37	3.21	0.66
3.680	6.440	177-1094C-1-3,40-42	3.01	0.64
3.730	6.530	177-1094C-1-3,45-47	3.10	0.60
3.780	6.610	177-1094C-1-3,50-52	3.24	0.60
3.830	6.700	177-1094C-1-3,55-57	3.14	0.56
3.880	6.780	177-1094C-1-3,60-62	3.18	0.68
3.930	6.870	177-1094C-1-3,65-67	3.38	0.71
3.980	6.950	177-1094C-1-3,70-72	3.28	0.67
4.030	7.040	177-1094C-1-3,75-77	3.07	0.74
4.080	7.120	177-1094C-1-3,80-82	3.12	0.54
4.130	7.210	177-1094C-1-3,85-87	3.29	0.56
4.180	7.290	177-1094C-1-3,90-92	3.19	0.58
4.280	7.460	177-1094C-1-3,100-102	3.22	0.62
4.330	7.540	177-1094C-1-3,105-107	3.13	0.65
4.380	7.630	177-1094C-1-3,110-112	3.06	0.41
4.430	7.710	177-1094C-1-3,115-117	3.23	0.78
4.480	7.800	177-1094C-1-3,120-122	3.25	0.70
4.530	7.880	177-1094C-1-3,125-127	3.00	0.57
4.580	7.970	177-1094C-1-3,130-132	3.29	0.61
4.630	8.050	177-1094C-1-3,135-137	3.10	0.78
4.680	8.140	177-1094C-1-3,140-142	3.30	0.58
4.730	8.220	177-1094C-1-3,145-147	3.14	0.56
4.780	8.310	177-1094C-1-4,0-2	2.97	0.76
4.830	8.390	177-1094C-1-4,5-7	3.25	0.58
4.930	8.560	177-1094C-1-4,15-17	3.21	0.65
4.980	8.650	177-1094C-1-4,20-22	3.37	0.63
5.030	8.730	177-1094C-1-4,25-27	3.29	0.53
5.080	8.810	177-1094C-1-4,30-32	3.16	0.56
5.130	8.900	177-1094C-1-4,35-37	3.26	0.61
5.180	8.980	177-1094C-1-4,40-42	3.16	0.49
5.230	9.070	177-1094C-1-4,45-47	3.06	0.70
5.280	9.150	177-1094C-1-4,50-52	3.13	0.57
5.330	9.240	177-1094C-1-4,55-57	3.22	0.62
5.380	9.320	177-1094C-1-4,60-62	3.17	0.64
5.430	9.410	177-1094C-1-4,65-67	2.94	0.58
5.480	9.490	177-1094C-1-4,70-72	3.26	0.53
5.530	9.580	177-1094C-1-4,75-77	3.04	0.61
5.580	9.660	177-1094C-1-4,80-82	3.29	0.40
5.630	9.750	177-1094C-1-4,85-87	3.08	0.67
5.680	9.830	177-1094C-1-4,90-92	3.26	0.53
5.730	9.920	177-1094C-1-4,95-97	3.13	0.45
5.780	10.000	177-1094C-1-4,100-102	3.17	0.61
5.830	10.090	177-1094C-1-4,105-107	2.92	0.72
5.880	10.170	177-1094C-1-4,110-112	2.89	0.35
5.930	10.250	177-1094C-1-4,115-117	3.22	0.31
5.980	10.340	177-1094C-1-4,120-122	3.14	0.55
6.030	10.420	177-1094C-1-4,125-127	3.14	0.61
6.080	10.510	177-1094C-1-4,130-132	3.20	0.57
6.130	10.590	177-1094C-1-4,135-137	3.16	0.68
6.180	10.680	177-1094C-1-4,140-142	3.18	0.42
6.380	11.020	177-1094C-1-5,10-12	3.28	0.45
6.430	11.100	177-1094C-1-5,15-17	3.23	0.45
6.480	11.190	177-1094C-1-5,20-22	4.01	0.49
6.530	11.270	177-1094C-1-5,25-27	3.26	0.52
6.630	11.440	177-1094C-1-5,35-37	3.71	0.27
6.680	11.590	177-1094C-1-5,40-42	3.99	0.59
6.730	11.730	177-1094C-1-5,45-47	3.76	0.28
6.780	11.880	177-1094C-1-5,50-52	3.40	0.42
6.880	12.170	177-1094C-1-5,60-62	4.10	0.39
6.980	12.470	177-1094C-1-5,70-72	3.87	0.30
7.030	12.610	177-1094C-1-5,75-77	3.83	0.14
7.080	12.760	177-1094C-1-5,80-82	4.28	0.43
7.130	12.910	177-1094C-1-5,85-87	4.30	0.36
7.180	13.050	177-1094C-1-5,90-92	3.92	0.05
7.230	13.200	177-1094C-1-5,95-97	3.88	0.15
7.280	13.350	177-1094C-1-5,100-102	3.87	-0.06
7.330	13.500	177-1094C-1-5,105-107	4.42	0.32
7.380	13.640	177-1094C-1-5,110-112	4.38	0.32
7.430	13.790	177-1094C-1-5,115-117	4.45	0.33
7.480	13.940	177-1094C-1-5,120-122	4.03	0.24
7.530	14.080	177-1094C-1-5,125-127	4.07	0.08
7.580	14.230	177-1094C-1-5,130-132	4.10	0.01
7.630	14.380	177-1094C-1-5,135-137	4.43	0.12
7.680	14.520	177-1094C-1-5,140-142	3.91	0.11
7.730	14.670	177-1094C-1-5,145-147	4.16	0.34
7.780	14.820	177-1094C-1-6,0-2	3.78	-0.15
7.830	14.960	177-1094C-1-6,5-7	4.14	0.06
7.930	15.260	177-1094C-1-6,15-17	4.28	-0.18
8.080	15.700	177-1094C-1-6,30-32	4.30	0.16
8.130	15.840	177-1094C-1-6,35-37	3.92	0.09
8.230	16.140	177-1094C-1-6,45-47	4.50	-0.04
8.280	16.280	177-1094C-1-6,50-52	4.48	-0.05
8.330	16.430	177-1094C-1-6,55-57	4.54	0.02
8.380	16.580	177-1094C-1-6,60-62	4.54	-0.22
8.430	16.720	177-1094C-1-6,65-67	4.63	-0.07
8.480	16.870	177-1094C-1-6,70-72	4.65	-0.11
8.530	17.020	177-1094C-1-6,75-77	4.56	-0.15
8.580	17.160	177-1094C-1-6,80-82	4.65	-0.13
8.630	17.310	177-1094C-1-6,85-87	4.53	-0.11
8.680	17.540	177-1094C-1-6,90-92	4.56	-0.20
8.740	17.810	177-1094A-2-2,110-112	4.54	-0.06
8.790	18.040	177-1094A-2-2,115-117	4.51	0.24
8.890	18.500	177-1094A-2-2,125-127	4.28	-0.04
8.940	18.730	177-1094A-2-2,130-132	3.95	0.28
9.190	19.870	177-1094A-2-3,5-7	4.56	-0.15
9.290	20.330	177-1094A-2-3,15-17	4.70	0.00
9.340	20.560	177-1094A-2-3,20-22	4.42	-0.21
9.390	20.790	177-1094A-2-3,25-27	4.49	-0.17
9.440	21.020	177-1094A-2-3,30-32	4.48	-0.06
9.490	21.250	177-1094A-2-3,35-37	4.52	-0.10
9.540	21.480	177-1094A-2-3,40-42	4.60	-0.20
9.590	21.710	177-1094A-2-3,45-47	4.35	-0.06
9.640	21.930	177-1094A-2-3,50-52	4.55	-0.24
9.690	22.160	177-1094A-2-3,55-57	4.66	-0.06
9.740	22.390	177-1094A-2-3,60-62	4.70	0.14
9.790	22.620	177-1094A-2-3,65-67	4.21	0.07
9.840	22.850	177-1094A-2-3,70-72	4.23	0.26
9.890	23.080	177-1094A-2-3,75-77	4.21	0.21
9.940	23.310	177-1094A-2-3,80-82	4.21	-0.20
9.990	23.540	177-1094A-2-3,85-87	4.23	0.17
10.040	23.770	177-1094A-2-3,90-92	4.32	0.10
10.090	24.000	177-1094A-2-3,95-97	4.52	0.09
10.140	24.220	177-1094A-2-3,100-102	4.49	-0.02
10.190	24.450	177-1094A-2-3,105-107	4.46	0.00
10.240	24.680	177-1094A-2-3,110-112	4.34	0.04
10.290	24.910	177-1094A-2-3,115-117	4.37	0.11
10.340	25.140	177-1094A-2-3,120-122	4.36	0.04
10.390	25.370	177-1094A-2-3,125-127	4.34	-0.01
10.440	25.600	177-1094A-2-3,130-132	4.30	0.20
10.490	25.830	177-1094A-2-3,135-137	4.57	0.07
10.540	26.060	177-1094A-2-3,140-142	4.65	-0.12
10.590	26.280	177-1094A-2-3,145-147	4.32	-0.03
10.640	26.510	177-1094A-2-4,0-2	4.27	0.15
10.690	26.740	177-1094A-2-4,5-7	4.34	0.12
10.740	26.970	177-1094A-2-4,10-12	4.02	0.10
10.790	27.200	177-1094A-2-4,15-17	4.16	-0.37
10.840	27.430	177-1094A-2-4,20-22	3.74	-0.22
10.890	27.660	177-1094A-2-4,25-27	4.43	0.12
10.940	27.890	177-1094A-2-4,30-32	4.25	0.13
10.990	28.120	177-1094A-2-4,35-37	4.40	0.11
11.040	28.350	177-1094A-2-4,40-42	4.39	-0.03
11.090	28.570	177-1094A-2-4,45-47	4.40	-0.01
11.140	28.800	177-1094A-2-4,50-52	4.37	0.01
11.190	29.030	177-1094A-2-4,55-57	4.57	-0.10
11.240	29.260	177-1094A-2-4,60-62	4.36	0.04
11.290	29.490	177-1094A-2-4,65-67	4.58	-0.08
11.340	29.720	177-1094A-2-4,70-72	4.40	0.20
11.390	29.950	177-1094A-2-4,75-77	4.39	0.23
11.440	30.180	177-1094A-2-4,80-82	4.21	-0.05
11.490	30.410	177-1094A-2-4,85-87	4.37	-0.14
11.540	30.630	177-1094A-2-4,90-92	4.68	0.07
11.590	30.860	177-1094A-2-4,95-97	4.14	0.16
11.690	31.320	177-1094A-2-4,105-107	4.73	-0.02
11.740	31.550	177-1094A-2-4,110-112	4.46	-0.10
11.790	31.780	177-1094A-2-4,115-117	4.24	0.12
11.840	32.010	177-1094A-2-4,120-122	4.36	-0.18
11.890	32.240	177-1094A-2-4,125-127	4.16	0.37
11.940	32.470	177-1094A-2-4,130-132	4.27	0.25
11.990	32.690	177-1094A-2-4,135-137	4.25	0.24
12.040	32.920	177-1094A-2-4,140-142	4.22	0.25
12.140	33.380	177-1094A-2-5,0-2	4.32	-0.04
12.190	33.610	177-1094A-2-5,5-7	4.49	0.17
12.240	33.840	177-1094A-2-5,10-12	4.29	0.03
12.290	34.070	177-1094A-2-5,15-17	4.46	-0.01
12.340	34.300	177-1094A-2-5,20-22	4.24	0.38
12.390	34.530	177-1094A-2-5,25-27	4.30	0.24
12.420	34.660	177-1094B-2-2,40-42	4.20	0.21
12.470	34.890	177-1094B-2-2,45-47	4.26	0.12
12.520	35.120	177-1094B-2-2,50-52	4.32	0.12
12.570	35.350	177-1094B-2-2,55-57	4.40	0.22
12.620	35.580	177-1094B-2-2,60-62	4.44	0.12
12.670	35.810	177-1094B-2-2,65-67	4.31	-0.01
12.720	36.040	177-1094B-2-2,70-72	4.39	0.04
12.770	36.270	177-1094B-2-2,75-77	4.27	0.20
12.870	36.720	177-1094B-2-2,85-87	4.29	0.28
12.920	36.950	177-1094B-2-2,90-92	4.18	0.28
12.970	37.180	177-1094B-2-2,95-97	4.24	0.19
13.020	37.410	177-1094B-2-2,100-102	4.39	0.12
13.070	37.640	177-1094B-2-2,105-107	4.44	0.13
13.120	37.870	177-1094B-2-2,110-112	4.36	0.25
13.170	38.100	177-1094B-2-2,115-117	4.37	0.24
13.220	38.330	177-1094B-2-2,120-122	4.19	0.20
13.270	38.560	177-1094B-2-2,125-127	4.27	0.14
13.320	38.780	177-1094B-2-2,130-132	4.36	0.44
13.370	39.010	177-1094B-2-2,135-137	4.37	0.05
13.420	39.240	177-1094B-2-2,140-142	4.38	0.19
13.470	39.470	177-1094B-2-2,145-147	4.26	0.23
13.520	39.700	177-1094B-2-3,0-2	4.31	0.04
13.570	39.930	177-1094B-2-3,5-7	4.25	0.21
13.620	40.160	177-1094B-2-3,10-12	4.39	0.07
13.670	40.390	177-1094B-2-3,15-17	4.56	0.00
13.720	40.620	177-1094B-2-3,20-22	4.52	0.05
13.770	40.840	177-1094B-2-3,25-27	4.20	0.19
13.820	41.070	177-1094B-2-3,30-32	4.34	0.21
13.870	41.300	177-1094B-2-3,35-37	4.39	0.22
13.920	41.530	177-1094B-2-3,40-42	4.34	0.03
13.970	41.760	177-1094B-2-3,45-47	4.35	0.04
14.020	41.990	177-1094B-2-3,50-52	4.21	0.09
14.070	42.220	177-1094B-2-3,55-57	4.17	0.10
14.120	42.450	177-1094B-2-3,60-62	4.36	0.00
14.170	42.680	177-1094B-2-3,65-67	4.26	0.05
14.220	42.910	177-1094B-2-3,70-72	4.39	0.10
14.270	43.130	177-1094B-2-3,75-77	4.17	0.18
14.320	43.360	177-1094B-2-3,80-82	4.22	0.26
14.370	43.590	177-1094B-2-3,85-87	4.21	0.14
14.420	43.820	177-1094B-2-3,90-92	4.33	0.13
14.470	44.050	177-1094B-2-3,95-97	4.07	0.13
14.520	44.280	177-1094B-2-3,100-102	4.21	0.16
14.570	44.510	177-1094B-2-3,105-107	4.20	0.10
14.620	44.740	177-1094B-2-3,110-112	4.14	0.18
14.670	44.970	177-1094B-2-3,115-117	4.20	0.09
14.720	45.190	177-1094B-2-3,120-122	4.23	0.11
14.770	45.420	177-1094B-2-3,125-127	4.24	0.24
14.820	45.650	177-1094B-2-3,130-132	4.27	0.19
14.870	45.880	177-1094B-2-3,135-137	4.23	0.14
14.920	46.110	177-1094B-2-3,140-142	4.18	0.16
14.970	46.340	177-1094B-2-3,145-147	4.28	0.14
15.020	46.570	177-1094B-2-4,0-2	4.18	0.11
15.070	46.800	177-1094B-2-4,5-7	4.21	0.18
15.120	47.030	177-1094B-2-4,10-12	4.21	0.23
