/* DATA DESCRIPTION:
Citation:	Lamy, Frank (2024): Pacific Antarctic Cirumpolar Current strength at Site PS75/076 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.965447, 
	In: Lamy, F (2024): Pacific Antarctic Cirumpolar Current strength reconstrucion [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.965443
Abstract:	The data contain the ACC strength record at site PS75/076. The absolute ACC strength record was calculated from sortable silt data using a formula from the Scotia Sea by McCave et al. (2017). The sortable silt record was calculated from ln(Zr/Rb) using a regional calibration from discrete grain-size measurement . The ln(Zr(/Rb record was interpolated to 0.5 kyr and 9-point adjacent averaged.
Keyword(s):	Age model; Stratigraphy
Related to:	McCave, I Nicholas; Thornalley, David J R; Hall, Ian R (2017): Relation of sortable silt grain-size to deep-sea current speeds: Calibration of the 'Mud Current Meter'. Deep Sea Research Part I: Oceanographic Research Papers, 127, 1-12, https://doi.org/10.1016/j.dsr.2017.07.003
Coverage:	LATITUDE: -55.528500 * LONGITUDE: -156.139830
	DATE/TIME START: 2010-01-01T13:59:00 * DATE/TIME END: 2010-01-01T13:59:00
	MINIMUM ELEVATION: -3742.0 m * MAXIMUM ELEVATION: -3742.0 m
Event(s):	PS75/076-2 * LATITUDE: -55.528500 * LONGITUDE: -156.139830 * DATE/TIME: 2010-01-01T13:59:00 * ELEVATION: -3742.0 m * RECOVERY: 20.95 m * LOCATION: South Pacific Ocean * CAMPAIGN: ANT-XXVI/2 (PS75 BIPOMAC) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Piston corer (BGR type) (KL) * COMMENT: TC 0.65m
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	ln-Zirconium/Rubidium ratio (ln(Zr/Rb)) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	Sortable-silt mean [µm] (SS) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	Antarctic Circumpolar Current, strength [m/s] (ACC strength) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	Antarctic Circumpolar Current, strength [%] (ACC strength) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	7796 data points
*/
Age [ka BP]	ln(Zr/Rb)	SS [µm]	ACC strength [m/s]	ACC strength [%]
5.5	1.2851	15.9242	6.2614	100.022
6.0	1.2851	15.9242	6.2614	100.022
6.5	1.2851	15.9242	6.2614	100.022
7.0	1.2851	15.9242	6.2614	100.022
7.5	1.2851	15.9242	6.2614	100.022
8.0	1.2793	15.9101	6.2375	99.641
8.5	1.2822	15.9171	6.2493	99.829
9.0	1.2929	15.9429	6.2931	100.529
9.5	1.2950	15.9479	6.3016	100.664
10.0	1.2852	15.9244	6.2618	100.028
10.5	1.2757	15.9014	6.2228	99.406
11.0	1.2720	15.8927	6.2080	99.169
11.5	1.2705	15.8889	6.2016	99.066
12.0	1.2633	15.8717	6.1723	98.599
12.5	1.2540	15.8493	6.1343	97.993
13.0	1.2453	15.8284	6.0989	97.427
13.5	1.2364	15.8068	6.0624	96.844
14.0	1.2101	15.7436	5.9552	95.131
14.5	1.2059	15.7334	5.9379	94.855
15.0	1.1664	15.6382	5.7766	92.279
15.5	1.1333	15.5587	5.6419	90.127
16.0	1.1161	15.5172	5.5715	89.001
16.5	1.0870	15.4473	5.4530	87.109
17.0	1.0598	15.3816	5.3417	85.331
17.5	1.0415	15.3377	5.2673	84.143
18.0	1.0182	15.2815	5.1721	82.621
18.5	1.0075	15.2557	5.1282	81.921
19.0	0.9694	15.1640	4.9729	79.439
19.5	0.9656	15.1550	4.9576	79.194
20.0	0.9631	15.1489	4.9472	79.029
20.5	0.9527	15.1238	4.9047	78.350
21.0	0.9544	15.1278	4.9116	78.459
21.5	0.9477	15.1119	4.8845	78.027
22.0	0.9250	15.0572	4.7918	76.547
22.5	0.9037	15.0059	4.7050	75.160
23.0	0.8859	14.9630	4.6322	73.997
23.5	0.8745	14.9356	4.5857	73.255
24.0	0.8655	14.9138	4.5488	72.665
24.5	0.8613	14.9037	4.5317	72.392
25.0	0.8619	14.9052	4.5343	72.432
25.5	0.8630	14.9078	4.5386	72.502
26.0	0.8679	14.9198	4.5589	72.826
26.5	0.8752	14.9373	4.5886	73.300
27.0	0.8832	14.9564	4.6210	73.818
27.5	0.8839	14.9582	4.6240	73.867
28.0	0.8769	14.9414	4.5956	73.413
28.5	0.8755	14.9379	4.5896	73.316
29.0	0.8739	14.9340	4.5830	73.212
29.5	0.8804	14.9498	4.6098	73.639
30.0	0.9020	15.0017	4.6978	75.044
30.5	0.9144	15.0317	4.7486	75.857
31.0	0.9105	15.0221	4.7324	75.598
31.5	0.8993	14.9952	4.6867	74.868
32.0	0.8940	14.9824	4.6651	74.522
32.5	0.8964	14.9882	4.6748	74.678
33.0	0.8943	14.9831	4.6663	74.541
33.5	0.8906	14.9743	4.6514	74.303
34.0	0.8835	14.9571	4.6222	73.837
34.5	0.8612	14.9035	4.5313	72.385
35.0	0.8335	14.8368	4.4182	70.579
35.5	0.8190	14.8019	4.3591	69.634
36.0	0.8257	14.8180	4.3864	70.071
36.5	0.8463	14.8677	4.4707	71.417
37.0	0.8751	14.9371	4.5882	73.294
37.5	0.9106	15.0224	4.7329	75.606
38.0	0.9443	15.1037	4.8707	77.806
